time_ns,din_orig,sub_low,sub_high,dout_recon
8496,-9980,-11774,2443,219
8506,-14822,-12160,-2544,-5845
8516,-9510,-7389,-2523,-11820
8526,-4048,-7468,2503,-7664
8536,-8443,-12395,2522,-3385
8546,-12705,-12160,-2463,-8999
8556,-6845,-6768,-2444,-14470
8566,-877,-6235,2580,-9769
8576,-4817,-10570,2598,-4913
8586,-8681,-9772,-2393,-9926
8596,-2486,-3852,-2379,-14780
8606,3746,-2839,2639,-9458
8616,0,-6748,2649,-3987
8626,-3746,-5584,-2350,-8397
8636,2486,634,-2344,-12676
8646,8681,1876,2663,-6808
8656,4817,-1877,2663,-833
8666,877,-635,-2344,-4791
8676,6845,5583,-2350,-8674
8686,12705,6747,2649,-2474
8696,8443,2838,2639,3763
8706,4048,3851,-2379,-1
8716,9510,9771,-2393,-3766
8726,14822,10569,2598,2471
8736,9980,6234,2580,8671
8746,4980,6767,-2444,4788
8756,9822,12159,-2463,830
8766,14510,12394,2522,6805
8776,9048,7467,2503,12673
8786,3443,7388,-2523,8394
8796,7705,12159,-2544,3984
8806,11845,11773,2443,9455
8816,5877,6234,2425,14777
8826,-182,5563,-2599,9923
8836,3681,9770,-2614,4910
8846,7486,8858,2378,9766
8856,1253,2839,2365,14467
8866,-5000,1742,-2649,8996
8876,-1253,5583,-2657,3382
8886,2513,4370,2344,7661
8896,-3681,-1878,2341,11817
8906,-9817,-3129,-2665,5842
8916,-5877,634,-2662,-222
8926,-1845,-578,2349,3658
8936,-7705,-6748,2356,7483
8946,-13443,-7845,-2640,1244
8956,-9048,-3852,-2628,-5014
8966,-4510,-4765,2392,-1248
8976,-9822,-10570,2408,2538
8986,-14980,-11241,-2581,-3662
8996,-9980,-6768,-2563,-9803
9006,-4822,-7154,2462,-5845
9016,-9510,-12395,2483,-1795
9026,-14048,-12474,-2504,-7663
9036,-8443,-7389,-2484,-13410
9046,-2705,-7154,2543,-8999
9056,-6845,-11774,2562,-4446
9066,-10877,-11241,-2426,-9768
9076,-4817,-5564,-2409,-14939
9086,1318,-4765,2613,-9925
9096,-2486,-8858,2627,-4756
9106,-6253,-7846,-2367,-9458
9116,0,-1743,-2357,-14011
9126,6253,-578,2655,-8398
9136,2486,-4371,2661,-2651
9146,-1318,-3129,-2342,-6807
9156,4817,3128,-2342,-10858
9166,10877,4370,2661,-4792
9176,6845,577,2655,1350
9186,2705,1742,-2357,-2474
9196,8443,7845,-2367,-6259
9206,14048,8857,2627,-1
9216,9510,4764,2613,6256
9226,4822,5563,-2409,2471
9236,9980,11240,-2426,-1353
9246,14980,11773,2562,4789
9256,9822,7153,2543,10855
9266,4510,7388,-2484,6804
9276,9048,12473,-2504,2648
9286,13443,12394,2483,8395
9296,7705,7153,2462,14008
9306,1845,6767,-2563,9455
9316,5877,11240,-2581,4753
9326,9817,10569,2408,9922
9336,3681,4764,2392,14936
9346,-2513,3851,-2628,9765
9356,1253,7844,-2640,4443
9366,4999,6747,2356,8996
9376,-1253,578,2349,13407
9386,-7486,-635,-2662,7660
9396,-3681,3128,-2664,1792
9406,182,1876,2341,5842
9416,-5877,-4371,2344,9800
9426,-11845,-5584,-2657,3660
9436,-7705,-1743,-2649,-2540
9446,-3443,-2840,2365,1245
9456,-9048,-8859,2378,5010
9466,-14510,-9771,-2614,-1248
9476,-9822,-5564,-2599,-7486
9486,-4980,-6235,2425,-3661
9496,-9980,-11774,2443,219
9506,-14822,-12160,-2544,-5845
9516,-9510,-7389,-2523,-11820
9526,-4048,-7468,2503,-7664
9536,-8443,-12395,2522,-3385
9546,-12705,-12160,-2463,-8999
9556,-6845,-6768,-2444,-14470
9566,-877,-6235,2580,-9769
9576,-4817,-10570,2598,-4913
9586,-8681,-9772,-2393,-9926
9596,-2486,-3852,-2379,-14780
9606,3746,-2839,2639,-9458
9616,0,-6748,2649,-3987
9626,-3746,-5584,-2350,-8397
9636,2486,634,-2344,-12676
9646,8681,1876,2663,-6808
9656,4817,-1877,2663,-833
9666,877,-635,-2344,-4791
9676,6845,5583,-2350,-8674
9686,12705,6747,2649,-2474
9696,8443,2838,2639,3763
9706,4048,3851,-2379,-1
9716,9510,9771,-2393,-3766
9726,14822,10569,2598,2471
9736,9980,6234,2580,8671
9746,4980,6767,-2444,4788
9756,9822,12159,-2463,830
9766,14510,12394,2522,6805
9776,9048,7467,2503,12673
9786,3443,7388,-2523,8394
9796,7705,12159,-2544,3984
9806,11845,11773,2443,9455
9816,5877,6234,2425,14777
9826,-182,5563,-2599,9923
9836,3681,9770,-2614,4910
9846,7486,8858,2378,9766
9856,1253,2839,2365,14467
9866,-5000,1742,-2649,8996
9876,-1253,5583,-2657,3382
9886,2513,4370,2344,7661
9896,-3681,-1878,2341,11817
9906,-9817,-3129,-2665,5842
9916,-5877,634,-2662,-222
9926,-1845,-578,2349,3658
9936,-7705,-6748,2356,7483
9946,-13443,-7845,-2640,1244
9956,-9048,-3852,-2628,-5014
9966,-4510,-4765,2392,-1248
9976,-9822,-10570,2408,2538
9986,-14980,-11241,-2581,-3662
9996,-9980,-6768,-2563,-9803
10006,-4822,-7154,2462,-5845
10016,-9510,-12395,2483,-1795
10026,-14048,-12474,-2504,-7663
10036,-8443,-7389,-2484,-13410
10046,-2705,-7154,2543,-8999
10056,-6845,-11774,2562,-4446
10066,-10877,-11241,-2426,-9768
10076,-4817,-5564,-2409,-14939
10086,1318,-4765,2613,-9925
10096,-2486,-8858,2627,-4756
10106,-6253,-7846,-2367,-9458
10116,0,-1743,-2357,-14011
